"País","Puntuación","Proceso electoraly pluralismo","Funcionamientodel gobierno","Participaciónpolítica","Culturapolítica","Derechosciviles","Continente","Alfabetizacion","Desempleo","Gasto Publico","Maestros Capacitados","Poblacion Activa","2018_pbi","2018_infl","2018_med","DensidadPob","PobUrbana","PobRural","CrecimientoPobUrb"
"Afganistán",2.97,2.92,1.14,4.44,2.5,3.82,"Asia",43.01972,11.0570001602173,NA,11.0570001602173,5.10571885003157e-317,0.617756235746,-0.559824440560746,NA,56.937760009803,25.495,74.505,3.35038297624495
"Albania",5.98,7,4.71,5.56,5,7.65,"Europa",98.14115,12.3400001525879,2.46866,12.3400001525879,6.51189390662971e-318,1.35940039453163,4.32839557846701,NA,104.612262773723,60.319,39.681,1.31716210445698
"Alemania",8.68,9.58,8.57,8.33,7.5,9.41,"Europa",NA,3.3840000629425,NA,3.3840000629425,2.15215672198382e-316,1.51202554251684,1.22278723255135,NA,237.30759674834,77.312,22.688,0.366515155973305
"Angola",3.62,1.75,2.86,5.56,5,2.94,"África",NA,7.01900005340576,NA,7.01900005340576,6.27734414631692e-317,29.0658847207699,-5.16205036467497,NA,24.7130520574316,65.514,34.486,4.31179134171658
"Argelia",3.5,2.58,2.21,3.89,5,4.12,"África",81.40784,11.8819999694824,NA,11.8819999694824,6.01448788295694e-317,7.55658500081616,-0.615183263534163,1.7193,17.7300750711665,72.629,27.371,2.80499567674668
"Argentina",7.02,9.17,5.36,6.11,6.25,8.24,"América",99.00387,9.22000026702881,NA,9.22000026702881,1.01538800404539e-316,40.7027906889545,-3.46737624314432,NA,16.2585100979651,91.87,8.13,1.14760215897919
"Armenia",4.79,5.67,4.64,5.56,2.5,5.59,"Asia-Europa",NA,17.496000289917,NA,17.496000289917,6.43813484636207e-318,2.7877095139188,4.95169918042562,NA,103.680224798033,63.149,36.851,0.309165596528027
"Australia",9.1,10,8.93,7.78,8.75,10,"Oceanía",NA,5.2979998588562,NA,5.2979998588562,6.54857482237391e-317,1.89461830647863,1.37114449535596,NA,3.24787091037205,86.012,13.988,1.66174925937128
"Austria",8.29,9.58,7.86,8.33,6.88,9.12,"Europa",NA,4.84800004959106,NA,4.84800004959106,2.27330127249814e-317,1.70225038320027,1.92211865205813,NA,107.127966860564,58.297,41.703,0.835905515118155
"Azerbaiyán",2.65,0.5,2.14,3.33,3.75,3.53,"Asia-Europa",NA,4.90000009536743,NA,4.90000009536743,2.51531389439137e-317,12.1844329641445,0.624884409708642,NA,120.23431716463,55.68,44.32,1.47340015238086
"Bélgica",7.78,9.58,8.93,5,6.88,8.53,"Europa",NA,5.94799995422363,NA,5.94799995422363,2.51467160905178e-317,1.5335694355189,1.02672843817844,NA,377.379590488771,98.001,1.999,0.496003003468172
"Bolivia",5.7,7.5,4.64,5.56,3.75,7.06,"América",NA,3.53399991989136,NA,3.53399991989136,2.78244184932529e-317,3.05626671196583,2.75215380976242,NA,10.4801458506416,69.425,30.575,1.92007368157467
"Brasil",6.97,9.58,5.36,6.67,5,8.24,"América",93.2275,12.3339996337891,NA,12.3339996337891,5.21447910166067e-316,3.28543989750865,0.526155826049262,2.1643,25.0617162430876,86.569,13.431,1.08463813215672
"Bulgaria",7.03,9.17,6.43,7.22,4.38,7.94,"Europa",NA,5.21099996566772,NA,5.21099996566772,1.64405976002037e-317,4.01228802924223,3.83123442190116,NA,64.7110998526161,75.008,24.992,-0.269102082353336
