"País","pob_aglo","pob_ciudad","conta","Proceso electoraly pluralismo","Funcionamientodel gobierno","Participaciónpolítica","Culturapolítica","Derechosciviles","Años Obligatorios de Educacion","Desempleo","celulares","2018_pbi","2018_infl"
"Alemania",9.58303125347759,5.54186916592983,89.1743564300489,9.58,8.57,8.33,7.5,9.41,13,3.3840000629425,129.3242137,1.51202554251684,1.22278723255135
"Angola",25.2329115687424,38.515297744971,100,1.75,2.86,5.56,5,2.94,6,7.01900005340576,43.13051888,29.0658847207699,-5.16205036467497
"Argelia",6.37850392208528,8.78230990288061,100,2.58,2.21,3.89,5,4.12,10,11.8819999694824,111.6647921,7.55658500081616,-0.615183263534163
"Argentina",43.0081024392632,36.6134837504002,93.8528246666324,9.17,5.36,6.11,6.25,8.24,14,9.22000026702881,132.0931513,40.7027906889545,-3.46737624314432
"Armenia",36.5991186323081,57.9567675616692,100,5.67,4.64,5.56,2.5,5.59,12,17.496000289917,121.259018,2.7877095139188,4.95169918042562
"Australia",60.8916182277904,22.3020126013875,24.8935837696774,10,8.93,7.78,8.75,10,10,5.2979998588562,111.012255,1.89461830647863,1.37114449535596
"Austria",21.4981334244893,36.8769086796647,85.0515376653505,9.58,7.86,8.33,6.88,9.12,13,4.84800004959106,123.5352681,1.70225038320027,1.92211865205813
"Azerbaiyán",22.9957913517323,41.2999163062584,100,0.5,2.14,3.33,3.75,3.53,10,4.90000009536743,103.9214187,12.1844329641445,0.624884409708642
"Bélgica",26.9686220087872,18.3014399890272,91.9485403518636,9.58,8.93,5,6.88,8.53,12,5.94799995422363,99.69668646,1.5335694355189,1.02672843817844
"Bolivia",41.3356144052457,23.0158036386824,99.9991320215104,7.5,4.64,5.56,3.75,7.06,14,3.53399991989136,100.8164084,3.05626671196583,2.75215380976242
"Brasil",41.9461931451321,11.939294933562,68.1350300575805,9.58,5.36,6.67,5,8.24,14,12.3339996337891,98.8435013,3.28543989750865,0.526155826049262
"Bulgaria",18.1126163463623,24.1475782545822,99.8946743201431,9.17,6.43,7.22,4.38,7.94,11,5.21099996566772,118.9396801,4.01228802924223,3.83123442190116
"Burkina Faso",12.8161228988025,43.6546158282195,100,4.42,4.29,4.44,5.63,5,10,6.0939998626709,97.91227142,2.37753650415873,3.80050234414495
"Camerún",28.0286031575607,25.7161651648096,100,3.17,2.86,3.33,4.38,2.65,6,3.35700011253357,73.19019901,1.59928885997273,1.37919198196641
"Canadá",45.9338791748504,20.1611105562755,0,9.58,9.64,7.78,8.75,10,10,5.83099985122681,89.57894095,1.81459782668129,0.597463557030892
"Chad",8.54567953703351,37.0600571866467,100,0,0,1.67,3.75,2.65,10,1.83800005912781,45.12373876,5.0146577780751,-0.674995563522558
"Chile",35.6682894481119,40.7339645446385,97.6630177077565,9.58,8.57,4.44,8.13,9.12,12,7.23299980163574,134.4373213,2.36047931576597,2.51338504277558
"China",27.8875617671767,3.10527790612515,99.9982944622564,0,5,3.89,6.25,1.47,9,4.27600002288818,115.5258122,3.49796591201293,6.26604182706623
"Colombia",43.8968000864474,26.3666682749363,92.1046289822956,9.17,6.79,5,5.63,8.24,12,9.11100006103516,129.9086097,4.48347809655093,0.971629907629179
"Costa Rica",27.1579362572736,34.2298205294467,99.6887933668832,9.58,7.5,6.67,7.5,9.12,13,9.63199996948242,169.9306983,2.54095145370013,1.64419088626954
